date,wasserstein_distance,beta0,beta1,beta2,lp2_distance
2018-02-28 00:00:00,1.3875089585781097,4,0,0,4.5
2018-03-01 00:00:00,1.2254933714866638,4,0,0,4.5
2018-03-02 00:00:00,1.078750193119049,4,0,0,4.5
2018-03-05 00:00:00,0.5747158527374268,4,0,0,2.0
2018-03-06 00:00:00,0.43530043959617615,4,0,0,2.0
2018-03-07 00:00:00,0.22917440533638,3,0,0,0.5
2018-03-08 00:00:00,0.3908971846103668,2,0,0,0.0
2018-03-09 00:00:00,0.6673493981361389,1,0,0,0.5
2018-03-12 00:00:00,0.871453732252121,1,0,0,0.5
2018-03-13 00:00:00,0.9692719876766205,1,0,0,0.5
2018-03-14 00:00:00,1.2563124001026154,1,0,0,0.5
2018-03-15 00:00:00,1.5185707807540894,1,0,0,0.5
2018-03-16 00:00:00,1.7638537883758545,1,0,0,2.0
2018-03-19 00:00:00,1.7665447294712067,1,0,0,2.0
2018-03-20 00:00:00,1.5403847694396973,1,0,0,2.0
2018-03-21 00:00:00,1.6060311496257782,1,0,0,2.0
2018-03-22 00:00:00,1.5584456026554108,1,0,0,0.5
2018-03-23 00:00:00,1.4187979698181152,1,0,0,0.5
2018-03-26 00:00:00,1.4485291540622711,1,0,0,0.5
2018-03-27 00:00:00,1.6359114348888397,1,0,0,2.0
2018-03-28 00:00:00,1.7373735010623932,1,0,0,4.5
2018-03-29 00:00:00,1.6477336287498474,1,0,0,4.5
2018-04-02 00:00:00,1.6608007848262787,1,0,0,4.5
2018-04-03 00:00:00,1.7258328795433044,1,0,0,4.5
2018-04-04 00:00:00,1.7086874544620514,1,0,0,4.5
2018-04-05 00:00:00,1.728027582168579,1,0,0,4.5
2018-04-06 00:00:00,1.316526621580124,1,0,0,2.0
2018-04-09 00:00:00,1.1374736428260803,1,0,0,0.5
2018-04-10 00:00:00,0.8855665326118469,1,0,0,0.0
2018-04-11 00:00:00,0.7313592731952667,1,0,0,0.0
2018-04-12 00:00:00,0.5492801070213318,1,0,0,0.0
2018-04-13 00:00:00,0.3074381947517395,1,0,0,0.0
2018-04-16 00:00:00,0.21614176034927368,1,0,0,0.0
2018-04-17 00:00:00,0.15632328391075134,1,0,0,0.0
2018-04-18 00:00:00,0.20421743392944336,1,0,0,0.0
2018-04-19 00:00:00,0.31033048033714294,1,0,0,0.0
2018-04-20 00:00:00,0.2553909122943878,1,0,0,0.0
2018-04-23 00:00:00,0.33173513412475586,1,1,0,0.5
2018-04-24 00:00:00,0.44247668981552124,2,1,0,1.0
2018-04-25 00:00:00,0.43089500069618225,2,1,0,1.0
2018-04-26 00:00:00,0.4522884786128998,2,0,0,0.5
2018-04-27 00:00:00,0.5558864176273346,2,0,0,0.5
2018-04-30 00:00:00,0.6635667383670807,2,0,0,0.5
2018-05-01 00:00:00,0.9313988983631134,3,0,0,2.0
2018-05-02 00:00:00,0.9566054046154022,3,0,0,2.0
2018-05-03 00:00:00,1.1106058955192566,3,0,0,2.0
2018-05-04 00:00:00,1.0914345681667328,3,0,0,2.0
2018-05-07 00:00:00,1.2812561094760895,4,0,0,4.5
2018-05-08 00:00:00,1.2523894011974335,4,0,0,4.5
2018-05-09 00:00:00,1.4007850587368011,5,0,0,8.0
2018-05-10 00:00:00,1.4408692419528961,5,0,0,8.0
2018-05-11 00:00:00,1.4689658284187317,5,0,0,8.0
2018-05-14 00:00:00,1.2653283178806305,5,0,0,8.0
2018-05-15 00:00:00,1.1707376539707184,5,0,0,8.0
2018-05-16 00:00:00,1.1158495247364044,6,0,0,12.5
2018-05-17 00:00:00,1.3332293629646301,6,0,0,12.5
2018-05-18 00:00:00,1.2781887352466583,5,0,0,8.0
2018-05-21 00:00:00,1.2095614969730377,5,0,0,8.0
2018-05-22 00:00:00,0.874089390039444,3,0,0,2.5
2018-05-23 00:00:00,0.6476782262325287,3,0,0,1.0
2018-05-24 00:00:00,0.5226291120052338,2,0,0,0.5
2018-05-25 00:00:00,0.3032185435295105,2,0,0,0.0
2018-05-29 00:00:00,0.26581141352653503,2,0,0,0.0
2018-05-30 00:00:00,0.4643547236919403,2,0,0,0.0
2018-05-31 00:00:00,0.6610023379325867,2,0,0,0.5
2018-06-01 00:00:00,0.6420579254627228,2,0,0,0.5
2018-06-04 00:00:00,0.725976288318634,2,0,0,0.5
2018-06-05 00:00:00,0.7550495266914368,2,0,0,0.5
2018-06-06 00:00:00,1.0052023530006409,2,0,0,2.0
2018-06-07 00:00:00,1.151486098766327,1,0,0,4.5
2018-06-08 00:00:00,1.3653909862041473,1,0,0,8.0
2018-06-11 00:00:00,1.3508761525154114,1,0,0,8.0
2018-06-12 00:00:00,1.3746599853038788,1,0,0,8.0
2018-06-13 00:00:00,1.2834051251411438,1,0,0,8.0
2018-06-14 00:00:00,1.2395499050617218,1,0,0,8.0
2018-06-15 00:00:00,1.3378887474536896,1,0,0,12.5
2018-06-18 00:00:00,1.4602547585964203,1,0,0,12.5
2018-06-19 00:00:00,1.3280192911624908,1,0,0,8.0
2018-06-20 00:00:00,1.2367556989192963,1,0,0,8.0
2018-06-21 00:00:00,0.7769924402236938,1,0,0,2.0
2018-06-22 00:00:00,0.738525778055191,1,0,0,2.0
2018-06-25 00:00:00,0.6707159280776978,1,0,0,0.5
2018-06-26 00:00:00,0.6020288169384003,1,0,0,0.5
2018-06-27 00:00:00,0.6075368821620941,1,0,0,0.5
2018-06-28 00:00:00,0.4610072076320648,1,0,0,0.5
2018-06-29 00:00:00,0.5440911948680878,1,0,0,0.5
2018-07-02 00:00:00,0.5693332254886627,1,0,0,0.5
2018-07-03 00:00:00,0.5822519659996033,1,0,0,0.5
2018-07-05 00:00:00,0.29452547430992126,1,0,0,0.5
2018-07-06 00:00:00,0.2800622582435608,1,0,0,0.5
2018-07-09 00:00:00,0.15875521302223206,1,0,0,0.0
2018-07-10 00:00:00,0.16950461268424988,1,0,0,0.0
2018-07-11 00:00:00,0.3297678828239441,1,0,0,0.0
2018-07-12 00:00:00,0.3478415608406067,1,0,0,0.0
2018-07-13 00:00:00,0.3378438651561737,1,0,0,0.0
2018-07-16 00:00:00,0.27190208435058594,1,0,0,0.0
2018-07-17 00:00:00,0.22155192494392395,1,0,0,0.0
2018-07-18 00:00:00,0.30331704020500183,1,0,0,0.0
2018-07-19 00:00:00,0.3081224262714386,1,0,0,0.0
2018-07-20 00:00:00,0.42055514454841614,1,0,0,0.0
2018-07-23 00:00:00,0.49626508355140686,1,0,0,0.0
2018-07-24 00:00:00,0.42970696091651917,2,0,0,0.5
2018-07-25 00:00:00,0.41242173314094543,2,0,0,0.5
2018-07-26 00:00:00,0.31842896342277527,2,0,0,0.5
2018-07-27 00:00:00,0.3422326147556305,2,0,0,0.5
2018-07-30 00:00:00,0.453412801027298,2,0,0,0.5
2018-07-31 00:00:00,0.8021017909049988,3,0,0,2.0
2018-08-01 00:00:00,0.871293306350708,3,0,0,2.0
2018-08-02 00:00:00,0.8781747817993164,3,0,0,2.0
2018-08-03 00:00:00,0.7012090086936951,3,0,0,2.0
2018-08-06 00:00:00,0.8054994642734528,3,0,0,2.0
2018-08-07 00:00:00,0.737971693277359,3,0,0,2.0
2018-08-08 00:00:00,1.154870331287384,3,0,0,2.0
2018-08-09 00:00:00,1.2753062546253204,3,0,0,2.0
2018-08-10 00:00:00,1.3036175072193146,3,0,0,2.0
2018-08-13 00:00:00,1.3234280049800873,3,0,0,2.0
